CODE,LABEL,YEAR,4 year olds enrolled in preschool or in a preschool program,5 year olds enrolled in preschool or in a preschool program,Enrolled in preschool,Enrolled in a preschool program within a long day care centre,Children enrolled  across more than one provider type,Total enrolled in a preschool program,Less than 15 hours,15 hours or more,Taxpayers with HELP repayment,Persons With Post School Qualification,Postgraduate degree,"Graduate Diploma, Graduate Certificate",Bachelor Degree,"Advanced Diploma, or Diploma ",Certificate,"Inadequately described, not stated",Completed Year 12 or equivalent ,Completed Year 11 or equivalent ,Completed Year 10 or equivalent ,Completed Year 9 or equivalent ,Completed Year 8 or below,Did not go to school,Not Stated,Managers,Professionals,Technicians and Trades Workers,"Community, Personal Service Workers","Clerical, Administrative Workers",Sales Workers,"Machinery Operators, Drivers",Labourers,"Inadequately Described, Not Stated",Working full-time & studying part-time,Working part-time & studying part-time,Working part-time & studying full-time,Working full-time (not studying),Studying full-time (not working),Working full-time & studying full-time,Fully engaged,Total - aged 15-19 years,Labour Force,Unemployed,Unemployment rate, Participation rate
10050,Albury (C),2011,-,-,-,-,-,-,-,-,737,54.7,2.0,1.8,10.5,7.2,22.1,11.2,38.6,11.2,26.9,8.4,6.1,0.5,8.3,11.0,18.9,15.2,10.7,13.9,10.8,7.3,10.6,1.6,3.6,1.7,20.5,9.2,40.7,0.6,78.5,"3,547","23,812","1,378",5.8,61.8
10050,Albury (C),2012,-,-,-,-,-,-,-,-,791,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10050,Albury (C),2013,-,-,-,-,-,-,-,-,816,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10050,Albury (C),2014,-,-,-,-,-,-,-,-,837,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10050,Albury (C),2015,-,-,-,-,-,-,-,-,925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10050,Albury (C),2016,580,224,392,289,123,814,305,488,"1,076",59.2,2.5,2.0,11.3,8.5,23.8,11.0,41.2,10.6,25.1,7.9,5.0,0.7,9.4,10.9,19.7,14.7,12.3,13.1,10.9,6.7,10.2,1.5,2.8,1.6,23.6,7.5,37.8,0.5,76.1,"3,248","24,591","1,684",6.8,59.3
10050,Albury (C),2017,613,268,436,322,126,892,217,655,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2011,-,-,-,-,-,-,-,-,479,55.5,5.8,2.1,12.5,6.6,17.3,11.2,48.1,5.8,23.9,7.7,5.6,0.4,8.5,15.7,22.6,11.9,10.4,13.0,10.1,3.7,11.0,1.5,2.4,1.2,16.9,5.3,51.2,0.5,81.0,"2,590","13,146",953,7.2,57.3
10130,Armidale Regional (A),2012,-,-,-,-,-,-,-,-,455,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2013,-,-,-,-,-,-,-,-,492,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2014,-,-,-,-,-,-,-,-,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2015,-,-,-,-,-,-,-,-,524,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2016,290,70,180,150,15,358,95,234,617,60.0,7.2,2.4,13.6,7.2,17.9,11.7,50.9,5.9,21.4,6.8,4.8,0.3,9.7,14.7,23.2,11.1,11.6,12.4,9.7,4.0,11.9,1.3,1.1,0.8,17.1,4.4,52.1,0.5,79.4,"2,560","13,359","1,032",7.7,55.4
10130,Armidale Regional (A),2017,299,79,202,157,15,380,66,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10250,Ballina (A),2011,-,-,-,-,-,-,-,-,439,56.8,2.2,1.7,12.2,8.4,21.2,11.0,38.5,7.3,31.1,9.3,6.4,0.2,7.2,13.7,20.5,13.9,11.4,12.7,11.2,4.8,10.5,1.3,2.3,1.4,25.2,5.8,41.3,0.3,78.5,"2,396","17,702","1,112",6.3,54.9
10250,Ballina (A),2012,-,-,-,-,-,-,-,-,453,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10250,Ballina (A),2013,-,-,-,-,-,-,-,-,488,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
