CODE,LABEL,YEAR,0-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85 years and over,Total,Working Age Population (15-64 years),Males,Females,Persons,Births,Total Fertility Rate (per female),Deaths,"Standardised Death Rate (per 1,000 population)",Population density,Proportion of total population,"Born in Oceania, Antarctica (exc. Australia)",Born in North-West Europe,Born in Southern & Eastern Europe,"Born in North Africa, Middle East",Born in South-East Asia,Born in North-East Asia,"Born in Southern, Central Asia",Born in Americas,Born in Sub-Saharan Africa,Total Born Overseas,Buddhism ,Christianity ,Hinduism ,Islam,Judaism ,Other Religions ,"Secular Beliefs, Other Spiritual Beliefs and No Religious Affiliation",Inadequately described or not stated ,Australian citizen,Not an Australian citizen,Australian Citizenship - Not stated,Proportion of total population
10050,Albury (C),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.3,1.1,4.2,1,0.2,0.9,0.3,1.5,0.4,0.5,10.2,-,-,-,-,-,-,-,-,90.4,4.2,5.4,5.3
10050,Albury (C),2012,19.1,14.7,13,12.8,13.2,11.6,8.2,5.1,2.2,"49,785",65.3,36.4,38.7,37.6,667,1.9,414,6.5,162.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10050,Albury (C),2013,19,14.4,13.1,12.8,13,11.6,8.6,5.3,2.3,"50,338",64.8,36.7,39.1,37.9,662,1.9,423,6.5,164.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10050,Albury (C),2014,19,14.1,13.1,12.7,12.7,11.9,8.9,5.3,2.4,"50,990",64.5,36.8,39.2,38.1,618,1.9,387,6.2,166.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10050,Albury (C),2015,19.1,13.9,13.1,12.5,12.5,12,9.1,5.3,2.5,"51,486",64,37.1,39.4,38.2,657,1.9,418,6,168.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10050,Albury (C),2016,19.2,13.7,13.2,12.2,12.5,12.1,9.2,5.5,2.5,"52,171",63.6,37.1,39.4,38.3,746,2,456,5.9,170.5,2.8,1.2,3.7,0.9,0.2,1.1,0.4,2.5,0.4,0.5,10.8,1,58.9,1.6,0.5,0.1,0.8,27.9,9.2,88.2,4.5,7.3,6.7
10050,Albury (C),2017,19.4,13.6,12.9,12.1,12.3,12.1,9.5,5.5,2.5,"52,949",63.1,36.9,39.6,38.4,-,-,431,6,173.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.8,1.3,3.6,0.4,0.9,0.9,1.2,0.9,0.8,0.7,10.6,-,-,-,-,-,-,-,-,88.5,5,6.6,5.6
10130,Armidale Regional (A),2012,19.3,18.8,11.2,11.2,13.1,11.4,8.3,4.8,2,"29,836",65.7,34.4,36.9,35.7,384,1.9,211,6.2,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2013,19.2,18.7,11.4,11,12.8,11.5,8.5,4.9,2,"29,983",65.4,34.6,36.8,35.7,379,2,214,6.2,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2014,19.1,18.7,11.7,10.7,12.6,11.7,8.5,5.1,2.1,"30,085",65.3,34.5,36.7,35.6,319,1.9,218,5.9,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2015,18.8,18.6,11.9,10.6,12.4,11.7,8.7,5.2,2.1,"30,193",65.3,34.7,36.5,35.6,337,1.8,236,6,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10130,Armidale Regional (A),2016,18.6,18.6,12.1,10.5,12.2,11.7,8.9,5.2,2.1,"30,313",65.2,34.6,36.6,35.6,336,1.7,226,6,3.5,7.4,1.4,3.4,0.4,1.2,1.2,1.3,1.7,0.9,0.7,12.3,1.1,57.6,1,1.6,0.1,0.6,27.9,10.3,85.7,6.6,7.7,7.9
10130,Armidale Regional (A),2017,18.1,19.1,12.2,10.4,11.9,11.9,9,5.3,2.2,"30,594",65.4,34.6,36.5,35.6,-,-,215,5.9,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10250,Ballina (A),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.1,1.8,5.6,0.6,0.1,0.6,0.4,0.2,0.8,0.6,10.7,-,-,-,-,-,-,-,-,91.7,3.5,4.8,3.3
10250,Ballina (A),2012,17.6,10.4,8.8,12.1,14.5,14.7,10.9,7.3,3.7,"41,118",60.5,44.4,47,45.8,380,2.1,403,5.7,84.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10250,Ballina (A),2013,17.5,10.2,9,11.8,14.4,14.8,11.4,7.2,3.8,"41,510",60.1,44.8,47.3,46.2,418,2.1,432,5.6,85.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10250,Ballina (A),2014,17.3,10.1,9,11.5,14.2,14.9,11.8,7.3,3.9,"41,881",59.8,45.2,47.7,46.5,334,1.9,464,5.5,86.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
